,type,start,end,time(s)
500_30_0,TANDEM,500,500,0.7892656326293945
500_30_1,TRANSLOCATION,456,0,0.6466341018676758
500_30_2,TANDEM,500,500,0.687669038772583
500_30_3,TRANSLOCATION,288,0,0.5907588005065918
500_30_4,TRANSLOCATION,474,0,0.9640133380889893
500_35_0,TRANSLOCATION,480,0,0.4035658836364746
500_35_1,TRANSLOCATION,423,0,0.7006292343139648
500_35_2,TRANSLOCATION,470,0,0.4419128894805908
500_35_3,TRANSLOCATION,336,0,0.5200457572937012
500_35_4,TRANSLOCATION,367,0,0.5248317718505859
500_40_0,TRANSLOCATION,346,0,0.32223963737487793
500_40_1,TRANSLOCATION,468,0,0.3771393299102783
500_40_2,TRANSLOCATION,480,0,0.3206665515899658
500_40_3,TANDEM,500,500,0.32910680770874023
500_40_4,TRANSLOCATION,393,0,0.39659833908081055
500_45_0,TRANSLOCATION,343,0,0.3603501319885254
500_45_1,TRANSLOCATION,394,0,0.36447978019714355
500_45_2,TRANSLOCATION,434,0,0.47635340690612793
500_45_3,TRANSLOCATION,463,0,0.29630589485168457
500_45_4,TRANSLOCATION,469,0,0.317488431930542
500_50_0,TRANSLOCATION,356,0,0.37389254570007324
500_50_1,TRANSLOCATION,462,0,0.4169013500213623
500_50_2,TRANSLOCATION,454,0,0.3987140655517578
500_50_3,TRANSLOCATION,410,0,0.4657411575317383
500_50_4,TRANSLOCATION,387,0,0.43021082878112793
500_55_0,TRANSLOCATION,350,0,0.26583170890808105
500_55_1,TRANSLOCATION,416,0,0.3559088706970215
500_55_2,TRANSLOCATION,437,0,0.27939343452453613
500_55_3,TRANSLOCATION,445,0,0.3316817283630371
500_55_4,TRANSLOCATION,372,0,0.4557764530181885
500_60_0,TRANSLOCATION,349,0,0.28106164932250977
500_60_1,TRANSLOCATION,338,0,0.25887179374694824
500_60_2,TANDEM,500,500,0.23286032676696777
500_60_3,TRANSLOCATION,375,0,0.3147697448730469
500_60_4,TRANSLOCATION,347,0,0.4820973873138428
500_65_0,TRANSLOCATION,374,0,0.23383522033691406
500_65_1,TRANSLOCATION,401,0,0.2536430358886719
500_65_2,TRANSLOCATION,390,0,0.31929731369018555
500_65_3,TRANSLOCATION,419,0,0.3004169464111328
500_65_4,TRANSLOCATION,391,0,0.31326866149902344
500_70_0,TRANSLOCATION,340,0,0.3009328842163086
500_70_1,TRANSLOCATION,429,0,0.20817089080810547
500_70_2,TRANSLOCATION,444,0,0.301957368850708
500_70_3,TRANSLOCATION,407,0,0.2293107509613037
500_70_4,TRANSLOCATION,421,0,0.25366926193237305
500_75_0,TRANSLOCATION,454,0,0.3385004997253418
500_75_1,TANDEM,500,500,0.2405683994293213
500_75_2,TRANSLOCATION,409,0,0.22453999519348145
500_75_3,TRANSLOCATION,359,0,0.22587323188781738
500_75_4,TRANSLOCATION,346,0,0.23684239387512207
600_30_0,TRANSLOCATION,491,0,0.614079475402832
600_30_1,TRANSLOCATION,516,0,0.753288984298706
600_30_2,TRANSLOCATION,495,0,0.7310996055603027
600_30_3,TRANSLOCATION,558,0,0.6062331199645996
600_30_4,TRANSLOCATION,268,0,0.7515273094177246
600_35_0,TRANSLOCATION,514,0,0.5564277172088623
600_35_1,TANDEM,600,600,0.6035540103912354
600_35_2,TRANSLOCATION,451,0,0.4515995979309082
600_35_3,TRANSLOCATION,449,0,0.5724642276763916
600_35_4,TRANSLOCATION,450,0,0.742955207824707
600_40_0,TRANSLOCATION,411,0,0.4495248794555664
600_40_1,TRANSLOCATION,570,0,0.5561389923095703
600_40_2,TRANSLOCATION,421,0,0.6686594486236572
600_40_3,TRANSLOCATION,414,0,0.6947469711303711
600_40_4,TRANSLOCATION,429,0,0.4681227207183838
600_45_0,TRANSLOCATION,508,0,0.5103991031646729
600_45_1,TRANSLOCATION,433,0,0.4707164764404297
600_45_2,TRANSLOCATION,414,0,0.5083506107330322
600_45_3,TRANSLOCATION,470,0,0.5819954872131348
600_45_4,TRANSLOCATION,442,0,0.42493653297424316
600_50_0,TRANSLOCATION,551,0,0.6030967235565186
600_50_1,TRANSLOCATION,519,0,0.4871339797973633
600_50_2,TRANSLOCATION,497,0,0.4539759159088135
600_50_3,TRANSLOCATION,547,0,0.34270524978637695
600_50_4,TRANSLOCATION,503,0,0.4174678325653076
600_55_0,TRANSLOCATION,486,0,0.45548176765441895
600_55_1,TRANSLOCATION,445,0,0.3785836696624756
600_55_2,TRANSLOCATION,551,0,0.38956236839294434
600_55_3,TANDEM,600,600,0.34221339225769043
600_55_4,TRANSLOCATION,510,0,0.4270188808441162
600_60_0,TANDEM,600,600,0.29177021980285645
600_60_1,TRANSLOCATION,489,0,0.29524827003479004
600_60_2,TRANSLOCATION,553,0,0.33580660820007324
600_60_3,TRANSLOCATION,514,0,0.3322179317474365
600_60_4,TANDEM,600,600,0.29520392417907715
600_65_0,TRANSLOCATION,448,0,0.495877742767334
600_65_1,TRANSLOCATION,419,0,0.38898491859436035
600_65_2,TRANSLOCATION,416,0,0.2913699150085449
600_65_3,TRANSLOCATION,426,0,0.380324125289917
600_65_4,TRANSLOCATION,556,0,0.3009631633758545
600_70_0,TRANSLOCATION,419,0,0.25310468673706055
600_70_1,TRANSLOCATION,431,0,0.3528928756713867
600_70_2,TRANSLOCATION,444,0,0.38379621505737305
600_70_3,TRANSLOCATION,460,0,0.2772355079650879
600_70_4,TRANSLOCATION,435,0,0.37633299827575684
600_75_0,TRANSLOCATION,488,0,0.2508378028869629
600_75_1,TRANSLOCATION,495,0,0.27576279640197754
600_75_2,TRANSLOCATION,511,0,0.2364673614501953
600_75_3,TRANSLOCATION,518,0,0.28275299072265625
600_75_4,TRANSLOCATION,432,0,0.27510523796081543
700_30_0,TRANSLOCATION,599,0,0.8908047676086426
700_30_1,INSERTION_SMALLER,700,700,0.7248156070709229
700_30_2,TRANSLOCATION,569,0,0.85406494140625
700_30_3,TRANSLOCATION,581,0,1.2648837566375732
700_30_4,TANDEM,700,700,0.823864221572876
700_35_0,TRANSLOCATION,580,0,0.8395707607269287
700_35_1,TRANSLOCATION,483,0,0.8368387222290039
700_35_2,TRANSLOCATION,514,0,0.6759815216064453
700_35_3,TRANSLOCATION,529,0,0.6543946266174316
700_35_4,TRANSLOCATION,520,0,0.6810989379882812
700_40_0,TRANSLOCATION,538,0,0.7309348583221436
700_40_1,TRANSLOCATION,488,0,0.6835188865661621
700_40_2,TRANSLOCATION,596,0,0.7815499305725098
700_40_3,TRANSLOCATION,525,0,0.49049806594848633
700_40_4,TRANSLOCATION,558,0,0.7747669219970703
700_45_0,TRANSLOCATION,467,0,0.8158309459686279
700_45_1,TRANSLOCATION,483,0,0.5934238433837891
700_45_2,TRANSLOCATION,658,0,0.5535991191864014
700_45_3,TRANSLOCATION,612,0,0.48300743103027344
700_45_4,TANDEM,700,700,0.45074009895324707
700_50_0,TRANSLOCATION,608,0,0.5298831462860107
700_50_1,TRANSLOCATION,661,0,0.574070930480957
700_50_2,TRANSLOCATION,527,0,0.5888402462005615
700_50_3,TRANSLOCATION,601,0,0.5442314147949219
700_50_4,TRANSLOCATION,574,0,0.6803007125854492
700_55_0,TRANSLOCATION,567,0,0.7506375312805176
700_55_1,TRANSLOCATION,615,0,0.502418041229248
700_55_2,TRANSLOCATION,561,0,0.38212108612060547
700_55_3,TRANSLOCATION,657,0,0.4058811664581299
700_55_4,TRANSLOCATION,539,0,0.6388065814971924
700_60_0,TRANSLOCATION,643,0,0.45054054260253906
700_60_1,TRANSLOCATION,488,0,0.4225924015045166
700_60_2,TRANSLOCATION,495,0,0.6825730800628662
700_60_3,TRANSLOCATION,470,0,0.5437064170837402
700_60_4,TRANSLOCATION,475,0,0.5575406551361084
700_65_0,TRANSLOCATION,535,0,0.5317411422729492
700_65_1,TRANSLOCATION,512,0,0.4383580684661865
700_65_2,TRANSLOCATION,535,0,0.32382893562316895
700_65_3,TRANSLOCATION,529,0,0.37988972663879395
700_65_4,TRANSLOCATION,482,0,0.4347498416900635
700_70_0,TRANSLOCATION,555,0,0.4339137077331543
700_70_1,TRANSLOCATION,628,0,0.39113450050354004
700_70_2,TANDEM,700,700,0.3718395233154297
700_70_3,TRANSLOCATION,611,0,0.48529577255249023
700_70_4,TRANSLOCATION,550,0,0.33486342430114746
700_75_0,TRANSLOCATION,499,0,0.48137950897216797
700_75_1,TRANSLOCATION,504,0,0.3125753402709961
700_75_2,TANDEM,700,700,0.3159811496734619
700_75_3,TRANSLOCATION,490,0,0.40863966941833496
700_75_4,TRANSLOCATION,614,0,0.5118093490600586
800_30_0,TRANSLOCATION,577,0,1.2709076404571533
800_30_1,TRANSLOCATION,753,0,0.7865979671478271
800_30_2,TANDEM,800,800,0.946915864944458
800_30_3,TANDEM,800,800,0.8344016075134277
800_30_4,TRANSLOCATION,657,0,1.2191946506500244
800_35_0,TRANSLOCATION,667,0,1.1113736629486084
800_35_1,TRANSLOCATION,540,0,1.1862859725952148
800_35_2,TRANSLOCATION,578,0,0.9936103820800781
800_35_3,TRANSLOCATION,648,0,0.7226336002349854
800_35_4,TRANSLOCATION,639,0,1.0566003322601318
800_40_0,TRANSLOCATION,637,0,0.7576849460601807
800_40_1,TRANSLOCATION,552,0,0.759765625
800_40_2,TRANSLOCATION,689,0,0.960498571395874
800_40_3,TRANSLOCATION,599,0,0.8509159088134766
800_40_4,TRANSLOCATION,721,0,0.6874418258666992
800_45_0,TRANSLOCATION,557,0,0.7258172035217285
800_45_1,TRANSLOCATION,727,0,0.5335648059844971
800_45_2,TRANSLOCATION,699,0,0.5655946731567383
800_45_3,TANDEM,800,800,0.7849411964416504
800_45_4,TRANSLOCATION,700,0,0.5823135375976562
800_50_0,TRANSLOCATION,671,0,0.6355631351470947
800_50_1,TRANSLOCATION,720,0,0.6140356063842773
800_50_2,TRANSLOCATION,608,0,0.5396139621734619
800_50_3,TRANSLOCATION,592,0,0.5942673683166504
800_50_4,TRANSLOCATION,618,0,0.568530797958374
800_55_0,TRANSLOCATION,733,0,0.5544400215148926
800_55_1,TRANSLOCATION,608,0,0.7094295024871826
800_55_2,TRANSLOCATION,722,0,0.6145410537719727
800_55_3,TRANSLOCATION,652,0,0.6509737968444824
800_55_4,TANDEM,800,800,0.48160576820373535
800_60_0,TRANSLOCATION,572,0,0.49787187576293945
800_60_1,TRANSLOCATION,581,0,0.478945255279541
800_60_2,TRANSLOCATION,557,0,0.4913337230682373
800_60_3,TRANSLOCATION,637,0,0.5486166477203369
800_60_4,TRANSLOCATION,700,0,0.7023956775665283
800_65_0,TRANSLOCATION,547,0,0.5233807563781738
800_65_1,TRANSLOCATION,697,0,0.6430830955505371
800_65_2,TRANSLOCATION,569,0,0.4567592144012451
800_65_3,TRANSLOCATION,622,0,0.4805126190185547
800_65_4,TRANSLOCATION,606,0,0.5236012935638428
800_70_0,TRANSLOCATION,593,0,0.542332649230957
800_70_1,TRANSLOCATION,690,0,0.5336959362030029
800_70_2,TRANSLOCATION,679,0,0.5496940612792969
800_70_3,TRANSLOCATION,691,0,0.45354723930358887
800_70_4,TRANSLOCATION,664,0,0.5367772579193115
800_75_0,TRANSLOCATION,598,0,0.5991380214691162
800_75_1,TRANSLOCATION,569,0,0.5271120071411133
800_75_2,TRANSLOCATION,738,0,0.5013086795806885
800_75_3,TRANSLOCATION,703,0,0.45700573921203613
800_75_4,TRANSLOCATION,685,0,0.4634995460510254
900_30_0,TRANSLOCATION,794,0,0.8610279560089111
900_30_1,TRANSLOCATION,772,0,1.0419893264770508
900_30_2,TRANSLOCATION,725,0,1.6442313194274902
