,real_type,real_start,real_end,read_count,var_size,type,start,end,time(s)
500_30_0,DELETION,257,333,150,76,DELETION,257,332,0.6188626289367676
500_30_1,DELETION,198,262,77,64,DELETION,192,261,0.3209044933319092
500_30_2,DELETION,244,344,122,100,DELETION,244,344,0.4933779239654541
500_30_3,DELETION,218,288,126,70,TRANSLOCATION,287,0,0.511298656463623
500_30_4,DELETION,325,412,110,87,DELETION,500,500,0.43757152557373047
500_35_0,DELETION,231,372,72,141,DELETION,231,371,0.303255558013916
500_35_1,DELETION,151,225,82,74,TRANSLOCATION,224,0,0.35988855361938477
500_35_2,DELETION,274,390,72,116,DELETION,274,389,0.2969660758972168
500_35_3,DELETION,124,152,82,28,DELETION,116,151,0.363828182220459
500_35_4,DELETION,218,297,74,79,DELETION,218,296,0.3219938278198242
500_40_0,DELETION,108,268,59,160,TRANSLOCATION,108,0,0.2981901168823242
500_40_1,DELETION,218,380,52,162,DELETION,218,379,0.23074793815612793
500_40_2,DELETION,311,367,60,56,TRANSLOCATION,296,0,0.2723417282104492
500_40_3,DELETION,67,187,47,120,DELETION,500,500,0.23190736770629883
500_40_4,DELETION,167,193,59,26,TRANSLOCATION,192,0,0.27498936653137207
500_45_0,DELETION,97,197,92,100,DELETION,97,196,0.4453084468841553
500_45_1,DELETION,283,391,70,108,TRANSLOCATION,390,0,0.3224153518676758
500_45_2,DELETION,329,375,81,46,DELETION,329,379,0.38016486167907715
500_45_3,DELETION,252,412,49,160,DELETION,500,500,0.2137906551361084
500_45_4,DELETION,205,265,55,60,DELETION,205,264,0.26314640045166016
500_50_0,DELETION,98,258,35,160,DELETION,98,256,0.1798534393310547
500_50_1,DELETION,119,228,59,109,DELETION,110,227,0.29735302925109863
500_50_2,DELETION,259,420,31,161,DELETION,259,430,0.1392507553100586
500_50_3,DELETION,205,246,58,41,DELETION,206,244,0.28159618377685547
500_50_4,DELETION,258,422,49,164,DELETION,258,421,0.21821856498718262
500_55_0,DELETION,154,220,48,66,DELETION,154,219,0.24462556838989258
500_55_1,DELETION,356,416,61,60,DELETION,342,431,0.2952914237976074
500_55_2,DELETION,260,357,49,97,DELETION,260,356,0.23994040489196777
500_55_3,DELETION,104,224,46,120,DELETION,104,223,0.24635839462280273
500_55_4,DELETION,262,392,43,130,TRANSLOCATION,263,0,0.20833826065063477
500_60_0,DELETION,138,281,32,143,DELETION,123,280,0.17406558990478516
500_60_1,DELETION,305,359,38,54,DELETION,305,358,0.18735074996948242
500_60_2,DELETION,113,259,34,146,TRANSLOCATION,113,0,0.18720006942749023
500_60_3,DELETION,332,390,33,58,DELETION,309,389,0.16634774208068848
500_60_4,DELETION,127,236,35,109,DELETION,127,235,0.1922924518585205
500_65_0,DELETION,284,316,40,32,TRANSLOCATION,286,0,0.21195125579833984
500_65_1,DELETION,187,235,56,48,DELETION,187,233,0.2972683906555176
500_65_2,DELETION,132,179,44,47,DELETION,132,177,0.2449953556060791
500_65_3,DELETION,124,280,22,156,DELETION,124,279,0.12920451164245605
500_65_4,DELETION,141,250,32,109,DELETION,133,249,0.18443536758422852
500_70_0,DELETION,206,361,26,155,DELETION,206,360,0.1466968059539795
500_70_1,DELETION,188,307,36,119,DELETION,188,306,0.2065749168395996
500_70_2,DELETION,251,390,27,139,DELETION,251,389,0.14794158935546875
500_70_3,DELETION,146,207,48,61,DELETION,146,206,0.276653528213501
500_70_4,DELETION,122,210,26,88,DELETION,122,208,0.15349769592285156
500_75_0,DELETION,131,261,23,130,DELETION,131,260,0.14469552040100098
500_75_1,DELETION,228,345,40,117,DELETION,210,344,0.22559762001037598
500_75_2,DELETION,228,330,38,102,DELETION,229,329,0.2157125473022461
500_75_3,DELETION,139,244,25,105,DELETION,139,242,0.15244626998901367
500_75_4,DELETION,226,366,23,140,DELETION,226,371,0.13184022903442383
600_30_0,DELETION,411,514,84,103,DELETION,411,513,0.43781065940856934
600_30_1,DELETION,291,477,72,186,DELETION,291,475,0.3719499111175537
600_30_2,DELETION,160,194,146,34,DELETION,161,196,0.7968173027038574
600_30_3,DELETION,406,465,94,59,TRANSLOCATION,368,0,0.5079009532928467
600_30_4,DELETION,349,485,107,136,DELETION,600,600,0.5484254360198975
600_35_0,DELETION,302,433,77,131,DELETION,302,432,0.42817068099975586
600_35_1,DELETION,269,441,70,172,DELETION,269,439,0.3889925479888916
600_35_2,DELETION,160,257,59,97,DELETION,600,600,0.34710097312927246
600_35_3,DELETION,410,456,85,46,TRANSLOCATION,458,0,0.4737732410430908
600_35_4,DELETION,127,173,99,46,DELETION,109,172,0.5659236907958984
600_40_0,DELETION,93,224,51,131,DELETION,93,223,0.3251523971557617
600_40_1,DELETION,130,240,71,110,DELETION,130,239,0.43706846237182617
600_40_2,DELETION,123,284,41,161,DELETION,106,282,0.25777530670166016
600_40_3,DELETION,152,227,77,75,DELETION,152,226,0.4669170379638672
600_40_4,DELETION,142,258,73,116,DELETION,142,256,0.44640469551086426
600_45_0,DELETION,213,412,64,199,DELETION,214,411,0.3953547477722168
600_45_1,DELETION,79,119,55,40,DELETION,79,128,0.3467879295349121
600_45_2,DELETION,326,422,54,96,DELETION,327,421,0.33037257194519043
600_45_3,DELETION,147,183,79,36,DELETION,147,182,0.48987865447998047
600_45_4,DELETION,186,261,56,75,DELETION,186,276,0.35764217376708984
600_50_0,DELETION,434,488,56,54,DELETION,434,487,0.34548187255859375
600_50_1,DELETION,185,367,60,182,DELETION,185,366,0.3914673328399658
600_50_2,DELETION,364,494,50,130,DELETION,364,493,0.30608439445495605
600_50_3,DELETION,249,446,55,197,DELETION,249,445,0.3432443141937256
600_50_4,DELETION,318,424,54,106,DELETION,318,423,0.34358835220336914
600_55_0,DELETION,219,390,41,171,DELETION,219,389,0.2761399745941162
600_55_1,DELETION,92,241,45,149,DELETION,92,239,0.32422590255737305
600_55_2,DELETION,253,321,45,68,DELETION,253,320,0.30284762382507324
600_55_3,DELETION,236,351,52,115,TRANSLOCATION,350,0,0.34632134437561035
600_55_4,DELETION,224,333,40,109,DELETION,224,344,0.2721841335296631
600_60_0,DELETION,293,339,53,46,TRANSLOCATION,294,0,0.36130404472351074
600_60_1,DELETION,244,298,39,54,TRANSLOCATION,244,0,0.2708733081817627
600_60_2,DELETION,192,304,40,112,DELETION,193,303,0.28263139724731445
600_60_3,DELETION,212,397,29,185,DELETION,198,396,0.21248650550842285
600_60_4,DELETION,232,318,47,86,DELETION,233,315,0.3245260715484619
600_65_0,DELETION,246,367,29,121,DELETION,600,600,0.2064812183380127
600_65_1,DELETION,143,323,27,180,DELETION,119,331,0.20659375190734863
600_65_2,DELETION,245,332,32,87,DELETION,600,600,0.23114562034606934
600_65_3,DELETION,235,401,39,166,DELETION,235,400,0.2801930904388428
600_65_4,DELETION,392,438,32,46,DELETION,392,436,0.22900128364562988
600_70_0,DELETION,362,438,37,76,DELETION,363,437,0.2645576000213623
600_70_1,DELETION,232,428,22,196,DELETION,232,427,0.16391682624816895
600_70_2,DELETION,299,389,29,90,DELETION,274,388,0.21155858039855957
600_70_3,DELETION,147,228,41,81,DELETION,147,226,0.3139793872833252
600_70_4,DELETION,144,227,31,83,TRANSLOCATION,144,0,0.23781561851501465
600_75_0,DELETION,141,341,19,200,DELETION,143,340,0.1523604393005371
600_75_1,DELETION,233,309,31,76,DELETION,233,313,0.2389535903930664
600_75_2,DELETION,164,271,34,107,DELETION,164,270,0.26499438285827637
600_75_3,DELETION,185,356,31,171,DELETION,185,355,0.248152494430542
600_75_4,DELETION,199,390,27,191,DELETION,199,389,0.20997095108032227
700_30_0,DELETION,130,159,105,29,DELETION,130,158,0.708223819732666
700_30_1,DELETION,480,550,102,70,DELETION,480,549,0.6636703014373779
700_30_2,DELETION,105,264,76,159,DELETION,105,262,0.5422468185424805
700_30_3,DELETION,380,428,113,48,DELETION,380,427,0.7407772541046143
700_30_4,DELETION,334,385,176,51,DELETION,334,384,1.1792397499084473
700_35_0,DELETION,149,250,81,101,DELETION,149,249,0.5878615379333496
700_35_1,DELETION,536,606,76,70,DELETION,522,605,0.5518264770507812
