,real_type,real_start,real_end,read_count,var_size
500_30_0,DELETION,257,333,150,76
500_30_1,DELETION,198,262,77,64
500_30_2,DELETION,244,344,122,100
500_30_3,DELETION,218,288,126,70
500_30_4,DELETION,325,412,110,87
500_35_0,DELETION,231,372,72,141
500_35_1,DELETION,151,225,82,74
500_35_2,DELETION,274,390,72,116
500_35_3,DELETION,124,152,82,28
500_35_4,DELETION,218,297,74,79
500_40_0,DELETION,108,268,59,160
500_40_1,DELETION,218,380,52,162
500_40_2,DELETION,311,367,60,56
500_40_3,DELETION,67,187,47,120
500_40_4,DELETION,167,193,59,26
500_45_0,DELETION,97,197,92,100
500_45_1,DELETION,283,391,70,108
500_45_2,DELETION,329,375,81,46
500_45_3,DELETION,252,412,49,160
500_45_4,DELETION,205,265,55,60
500_50_0,DELETION,98,258,35,160
500_50_1,DELETION,119,228,59,109
500_50_2,DELETION,259,420,31,161
500_50_3,DELETION,205,246,58,41
500_50_4,DELETION,258,422,49,164
500_55_0,DELETION,154,220,48,66
500_55_1,DELETION,356,416,61,60
500_55_2,DELETION,260,357,49,97
500_55_3,DELETION,104,224,46,120
500_55_4,DELETION,262,392,43,130
500_60_0,DELETION,138,281,32,143
500_60_1,DELETION,305,359,38,54
500_60_2,DELETION,113,259,34,146
500_60_3,DELETION,332,390,33,58
500_60_4,DELETION,127,236,35,109
500_65_0,DELETION,284,316,40,32
500_65_1,DELETION,187,235,56,48
500_65_2,DELETION,132,179,44,47
500_65_3,DELETION,124,280,22,156
500_65_4,DELETION,141,250,32,109
500_70_0,DELETION,206,361,26,155
500_70_1,DELETION,188,307,36,119
500_70_2,DELETION,251,390,27,139
500_70_3,DELETION,146,207,48,61
500_70_4,DELETION,122,210,26,88
500_75_0,DELETION,131,261,23,130
500_75_1,DELETION,228,345,40,117
500_75_2,DELETION,228,330,38,102
500_75_3,DELETION,139,244,25,105
500_75_4,DELETION,226,366,23,140
600_30_0,DELETION,411,514,84,103
600_30_1,DELETION,291,477,72,186
600_30_2,DELETION,160,194,146,34
600_30_3,DELETION,406,465,94,59
600_30_4,DELETION,349,485,107,136
600_35_0,DELETION,302,433,77,131
600_35_1,DELETION,269,441,70,172
600_35_2,DELETION,160,257,59,97
600_35_3,DELETION,410,456,85,46
600_35_4,DELETION,127,173,99,46
600_40_0,DELETION,93,224,51,131
600_40_1,DELETION,130,240,71,110
600_40_2,DELETION,123,284,41,161
600_40_3,DELETION,152,227,77,75
600_40_4,DELETION,142,258,73,116
600_45_0,DELETION,213,412,64,199
600_45_1,DELETION,79,119,55,40
600_45_2,DELETION,326,422,54,96
600_45_3,DELETION,147,183,79,36
600_45_4,DELETION,186,261,56,75
600_50_0,DELETION,434,488,56,54
600_50_1,DELETION,185,367,60,182
600_50_2,DELETION,364,494,50,130
600_50_3,DELETION,249,446,55,197
600_50_4,DELETION,318,424,54,106
600_55_0,DELETION,219,390,41,171
600_55_1,DELETION,92,241,45,149
600_55_2,DELETION,253,321,45,68
600_55_3,DELETION,236,351,52,115
600_55_4,DELETION,224,333,40,109
600_60_0,DELETION,293,339,53,46
600_60_1,DELETION,244,298,39,54
600_60_2,DELETION,192,304,40,112
600_60_3,DELETION,212,397,29,185
600_60_4,DELETION,232,318,47,86
600_65_0,DELETION,246,367,29,121
600_65_1,DELETION,143,323,27,180
600_65_2,DELETION,245,332,32,87
600_65_3,DELETION,235,401,39,166
600_65_4,DELETION,392,438,32,46
600_70_0,DELETION,362,438,37,76
600_70_1,DELETION,232,428,22,196
600_70_2,DELETION,299,389,29,90
600_70_3,DELETION,147,228,41,81
600_70_4,DELETION,144,227,31,83
600_75_0,DELETION,141,341,19,200
600_75_1,DELETION,233,309,31,76
600_75_2,DELETION,164,271,34,107
600_75_3,DELETION,185,356,31,171
600_75_4,DELETION,199,390,27,191
700_30_0,DELETION,130,159,105,29
700_30_1,DELETION,480,550,102,70
700_30_2,DELETION,105,264,76,159
700_30_3,DELETION,380,428,113,48
700_30_4,DELETION,334,385,176,51
700_35_0,DELETION,149,250,81,101
700_35_1,DELETION,536,606,76,70
700_35_2,DELETION,101,168,115,67
700_35_3,DELETION,330,475,89,145
700_35_4,DELETION,274,424,81,150
700_40_0,DELETION,360,557,61,197
700_40_1,DELETION,211,357,52,146
700_40_2,DELETION,217,298,95,81
700_40_3,DELETION,257,443,46,186
700_40_4,DELETION,243,462,49,219
700_45_0,DELETION,250,298,84,48
700_45_1,DELETION,243,443,55,200
700_45_2,DELETION,409,453,58,44
700_45_3,DELETION,340,458,71,118
700_45_4,DELETION,316,400,57,84
700_50_0,DELETION,452,519,81,67
700_50_1,DELETION,397,500,57,103
700_50_2,DELETION,285,336,79,51
700_50_3,DELETION,471,541,53,70
700_50_4,DELETION,377,564,53,187
700_55_0,DELETION,458,504,58,46
700_55_1,DELETION,339,390,46,51
700_55_2,DELETION,250,474,38,224
700_55_3,DELETION,160,349,43,189
700_55_4,DELETION,332,496,40,164
700_60_0,DELETION,249,461,25,212
700_60_1,DELETION,308,410,36,102
700_60_2,DELETION,149,352,36,203
700_60_3,DELETION,156,310,35,154
700_60_4,DELETION,265,479,29,214
700_65_0,DELETION,203,406,25,203
700_65_1,DELETION,221,316,34,95
700_65_2,DELETION,278,363,57,85
700_65_3,DELETION,323,548,31,225
700_65_4,DELETION,247,470,25,223
700_70_0,DELETION,312,531,23,219
700_70_1,DELETION,283,395,41,112
700_70_2,DELETION,389,454,35,65
700_70_3,DELETION,380,460,32,80
700_70_4,DELETION,220,406,28,186
700_75_0,DELETION,313,489,24,176
700_75_1,DELETION,179,392,25,213
700_75_2,DELETION,287,399,26,112
700_75_3,DELETION,385,524,25,139
700_75_4,DELETION,397,541,29,144
800_30_0,DELETION,385,434,122,49
800_30_1,DELETION,362,570,63,208
800_30_2,DELETION,213,317,120,104
800_30_3,DELETION,327,502,95,175
800_30_4,DELETION,555,611,103,56
800_35_0,DELETION,359,490,80,131
800_35_1,DELETION,258,392,64,134
800_35_2,DELETION,482,514,80,32
800_35_3,DELETION,472,634,71,162
800_35_4,DELETION,529,650,107,121
800_40_0,DELETION,144,230,66,86
