,type,start,end,time(s)
500_30_0,TRANSLOCATION,61,0,0.7732224464416504
500_30_1,TANDEM,44,188,0.557234525680542
500_30_2,TANDEM,203,281,0.6436083316802979
500_30_3,TANDEM,215,337,1.2582855224609375
500_30_4,TANDEM,354,406,0.6958513259887695
500_35_0,TRANSLOCATION,249,0,0.596550464630127
500_35_1,TANDEM,61,164,0.705894947052002
500_35_2,TRANSLOCATION,163,0,0.41368985176086426
500_35_3,TANDEM,122,164,0.5383026599884033
500_35_4,TANDEM,229,274,0.438601016998291
500_40_0,TANDEM,85,149,0.3397836685180664
500_40_1,INSERTION_BIGGER,81,115,0.3887929916381836
500_40_2,TRANSLOCATION,407,0,0.5455293655395508
500_40_3,INSERTION_BIGGER,326,350,0.3859117031097412
500_40_4,TRANSLOCATION,200,0,0.3410830497741699
500_45_0,INSERTION_BIGGER,274,299,0.3760957717895508
500_45_1,TANDEM,226,283,0.4079718589782715
500_45_2,TANDEM,267,376,0.7211024761199951
500_45_3,TRANSLOCATION,329,0,0.2792212963104248
500_45_4,TANDEM,143,246,0.45384788513183594
500_50_0,TRANSLOCATION,142,0,0.31908464431762695
500_50_1,TANDEM,97,218,0.40494751930236816
500_50_2,TANDEM,185,299,0.37958335876464844
500_50_3,TANDEM,217,370,0.6797780990600586
500_50_4,TANDEM,189,360,0.532573938369751
500_55_0,TANDEM,281,388,0.5555136203765869
500_55_1,TANDEM,119,206,0.3141307830810547
500_55_2,TANDEM,78,141,0.35305094718933105
500_55_3,TANDEM,237,390,0.4219377040863037
500_55_4,INSERTION_BIGGER,350,395,0.4194517135620117
500_60_0,INSERTION_BIGGER,265,307,0.29720187187194824
500_60_1,TANDEM,155,303,0.35305309295654297
500_60_2,TANDEM,144,267,0.3215644359588623
500_60_3,TRANSLOCATION,263,0,0.2233734130859375
500_60_4,TANDEM,226,304,0.3940129280090332
500_65_0,TANDEM,169,273,0.28623509407043457
500_65_1,TRANSLOCATION,398,0,0.3261594772338867
500_65_2,INSERTION_BIGGER,140,193,0.3132503032684326
500_65_3,TRANSLOCATION,296,0,0.27818965911865234
500_65_4,TRANSLOCATION,122,0,0.31279778480529785
500_70_0,TANDEM,119,213,0.2682819366455078
500_70_1,TANDEM,114,172,0.29717564582824707
500_70_2,TANDEM,103,245,0.333019495010376
500_70_3,TANDEM,107,221,0.30210137367248535
500_70_4,TRANSLOCATION,281,0,0.27825260162353516
500_75_0,TRANSLOCATION,131,0,0.28303003311157227
500_75_1,INSERTION_BIGGER,181,216,0.32512855529785156
500_75_2,TANDEM,217,357,0.35806965827941895
500_75_3,INSERTION_BIGGER,228,310,0.3316962718963623
500_75_4,TANDEM,131,277,0.30019569396972656
600_30_0,TRANSLOCATION,324,0,0.5752897262573242
600_30_1,TANDEM,265,443,0.8647444248199463
600_30_2,INSERTION_BIGGER,436,450,1.0637197494506836
600_30_3,TANDEM,351,553,0.9629287719726562
600_30_4,TRANSLOCATION,447,0,0.5612568855285645
600_35_0,TRANSLOCATION,435,0,0.9006915092468262
600_35_1,TANDEM,135,300,0.8375895023345947
600_35_2,TANDEM,323,428,0.5755205154418945
600_35_3,TRANSLOCATION,307,0,0.6501061916351318
600_35_4,TANDEM,164,351,0.9352624416351318
600_40_0,TANDEM,395,486,0.5462610721588135
600_40_1,TRANSLOCATION,258,0,0.443436861038208
600_40_2,INSERTION_BIGGER,157,186,0.4724717140197754
600_40_3,TRANSLOCATION,392,0,0.5075058937072754
600_40_4,TANDEM,277,389,0.6159024238586426
600_45_0,TRANSLOCATION,233,0,0.4540073871612549
600_45_1,TANDEM,371,440,0.6401326656341553
600_45_2,TANDEM,127,312,0.6938886642456055
600_45_3,TANDEM,312,375,0.5748789310455322
600_45_4,INSERTION_BIGGER,455,479,0.6448392868041992
600_50_0,INSERTION_BIGGER,121,152,0.6392745971679688
600_50_1,TRANSLOCATION,113,0,0.5859818458557129
600_50_2,TANDEM,319,431,0.46881628036499023
600_50_3,TRANSLOCATION,282,0,0.37749195098876953
600_50_4,INSERTION_BIGGER,280,327,0.42946934700012207
600_55_0,TANDEM,160,230,0.38733339309692383
600_55_1,TANDEM,154,333,0.524428129196167
600_55_2,TANDEM,175,260,0.45159077644348145
600_55_3,TANDEM,200,336,0.5035219192504883
600_55_4,INSERTION_BIGGER,334,396,0.339191198348999
600_60_0,TANDEM,371,458,0.4132082462310791
600_60_1,TANDEM,202,386,0.4978830814361572
600_60_2,INSERTION_BIGGER,336,382,0.39887475967407227
600_60_3,INSERTION_BIGGER,219,281,0.5152456760406494
600_60_4,TANDEM,222,334,0.42364025115966797
600_65_0,TRANSLOCATION,181,0,0.432452917098999
600_65_1,TANDEM,290,380,0.46920180320739746
600_65_2,INSERTION_BIGGER,284,318,0.4001131057739258
600_65_3,TANDEM,189,334,0.5076093673706055
600_65_4,TANDEM,344,455,0.4679090976715088
600_70_0,TANDEM,168,334,0.5227987766265869
600_70_1,INSERTION_BIGGER,201,269,0.3675851821899414
600_70_2,TANDEM,266,386,0.3750345706939697
600_70_3,TRANSLOCATION,356,0,0.42793917655944824
600_70_4,INSERTION_BIGGER,241,323,0.3541750907897949
600_75_0,TANDEM,236,399,0.4322168827056885
600_75_1,TANDEM,176,325,0.3860299587249756
600_75_2,TANDEM,121,227,0.33316969871520996
600_75_3,TANDEM,246,329,0.35138583183288574
600_75_4,INSERTION_BIGGER,356,385,0.2756466865539551
700_30_0,TANDEM,375,442,0.8270258903503418
700_30_1,TRANSLOCATION,258,0,0.7355685234069824
700_30_2,INSERTION_BIGGER,330,364,1.435349464416504
700_30_3,TANDEM,220,270,1.0993402004241943
700_30_4,TANDEM,197,334,1.2330117225646973
700_35_0,TRANSLOCATION,471,0,0.894282341003418
700_35_1,TANDEM,464,504,1.0067739486694336
700_35_2,TANDEM,111,254,1.099255084991455
700_35_3,TANDEM,393,474,0.8845155239105225
700_35_4,TANDEM,408,514,0.7408983707427979
700_40_0,INSERTION_BIGGER,205,246,0.7601156234741211
700_40_1,TRANSLOCATION,344,0,0.5721163749694824
700_40_2,TRANSLOCATION,165,0,0.5810437202453613
700_40_3,TANDEM,344,404,0.7669763565063477
700_40_4,TANDEM,477,577,0.6216974258422852
700_45_0,TANDEM,244,393,0.5884451866149902
700_45_1,TANDEM,481,574,0.6916208267211914
700_45_2,TANDEM,239,355,0.5765326023101807
700_45_3,TRANSLOCATION,401,0,0.5564541816711426
700_45_4,TANDEM,181,324,0.6195247173309326
700_50_0,TANDEM,240,473,1.0484440326690674
700_50_1,TANDEM,354,441,0.7363510131835938
700_50_2,INSERTION_BIGGER,311,351,0.4581618309020996
700_50_3,TRANSLOCATION,367,0,0.6301729679107666
700_50_4,TANDEM,215,343,0.7507879734039307
700_55_0,TANDEM,301,523,0.6678009033203125
700_55_1,INSERTION_BIGGER,167,211,0.47930288314819336
700_55_2,TRANSLOCATION,580,0,0.4954097270965576
700_55_3,TANDEM,225,331,0.47509336471557617
700_55_4,TANDEM,182,408,0.836165189743042
700_60_0,TANDEM,246,438,0.5138354301452637
700_60_1,TANDEM,359,478,0.46233153343200684
700_60_2,TRANSLOCATION,519,0,0.5200247764587402
700_60_3,INSERTION_BIGGER,405,459,0.5078423023223877
700_60_4,INSERTION_BIGGER,406,433,0.653127908706665
700_65_0,TRANSLOCATION,356,0,0.5245447158813477
700_65_1,TANDEM,383,509,0.5148694515228271
