,real_type,real_start,real_end,read_count,var_size
500_30_0,INSERTION_BIGGER,67,68,127,14
500_30_1,INSERTION_BIGGER,128,129,152,11
500_30_2,INSERTION_BIGGER,68,69,116,9
500_30_3,INSERTION_BIGGER,82,83,158,10
500_30_4,INSERTION_BIGGER,355,356,116,7
500_35_0,INSERTION_BIGGER,54,55,89,14
500_35_1,INSERTION_BIGGER,346,347,129,13
500_35_2,INSERTION_BIGGER,263,264,107,16
500_35_3,INSERTION_BIGGER,221,222,105,14
500_35_4,INSERTION_BIGGER,333,334,94,14
500_40_0,INSERTION_BIGGER,331,332,103,12
500_40_1,INSERTION_BIGGER,189,190,128,10
500_40_2,INSERTION_BIGGER,381,382,81,12
500_40_3,INSERTION_BIGGER,218,219,83,10
500_40_4,INSERTION_BIGGER,394,395,92,12
500_45_0,INSERTION_BIGGER,243,244,80,13
500_45_1,INSERTION_BIGGER,340,341,78,13
500_45_2,INSERTION_BIGGER,314,315,54,14
500_45_3,INSERTION_BIGGER,314,315,96,11
500_45_4,INSERTION_BIGGER,343,344,104,12
500_50_0,INSERTION_BIGGER,252,253,61,13
500_50_1,INSERTION_BIGGER,132,133,54,17
500_50_2,INSERTION_BIGGER,155,156,89,20
500_50_3,INSERTION_BIGGER,328,329,74,19
500_50_4,INSERTION_BIGGER,134,135,65,12
500_55_0,INSERTION_BIGGER,223,224,59,15
500_55_1,INSERTION_BIGGER,256,257,75,13
500_55_2,INSERTION_BIGGER,207,208,49,21
500_55_3,INSERTION_BIGGER,264,265,68,13
500_55_4,INSERTION_BIGGER,325,326,100,17
500_60_0,INSERTION_BIGGER,219,220,47,16
500_60_1,INSERTION_BIGGER,170,171,55,20
500_60_2,INSERTION_BIGGER,320,321,48,27
500_60_3,INSERTION_BIGGER,364,365,68,16
500_60_4,INSERTION_BIGGER,279,280,47,25
500_65_0,INSERTION_BIGGER,195,196,50,29
500_65_1,INSERTION_BIGGER,346,347,53,24
500_65_2,INSERTION_BIGGER,333,334,38,31
500_65_3,INSERTION_BIGGER,283,284,43,29
500_65_4,INSERTION_BIGGER,368,369,48,27
500_70_0,INSERTION_BIGGER,274,275,40,28
500_70_1,INSERTION_BIGGER,322,323,37,21
500_70_2,INSERTION_BIGGER,314,315,58,34
500_70_3,INSERTION_BIGGER,182,183,43,32
500_70_4,INSERTION_BIGGER,201,202,53,28
