,type,start,end,time(s)
500_30_0,TANDEM,196,197,0.8222527503967285
500_30_1,TANDEM,122,123,0.6567220687866211
500_30_2,TANDEM,146,148,0.6484513282775879
500_30_3,TRANSLOCATION,190,0,0.7067081928253174
500_30_4,INSERTION_SMALLER,411,419,0.5005688667297363
500_35_0,INSERTION_SMALLER,61,62,0.48534464836120605
500_35_1,INSERTION_SMALLER,362,363,0.6199078559875488
500_35_2,INSERTION_SMALLER,395,397,0.4869813919067383
500_35_3,TRANSLOCATION,123,0,0.6572341918945312
500_35_4,TANDEM,173,175,0.6442487239837646
500_40_0,INSERTION_SMALLER,208,209,0.4674253463745117
500_40_1,INSERTION_SMALLER,353,362,0.4422032833099365
500_40_2,TRANSLOCATION,92,0,0.4620192050933838
500_40_3,INSERTION_SMALLER,351,351,0.38243579864501953
500_40_4,INSERTION_SMALLER,99,100,0.396634578704834
500_45_0,TANDEM,381,382,0.5086119174957275
500_45_1,INSERTION_SMALLER,366,367,0.41977691650390625
500_45_2,INSERTION_SMALLER,187,187,0.4962782859802246
500_45_3,TRANSLOCATION,188,0,0.3841214179992676
500_45_4,TRANSLOCATION,231,0,0.44185400009155273
500_50_0,TANDEM,326,327,0.38674449920654297
500_50_1,INSERTION_SMALLER,270,273,0.5386245250701904
500_50_2,INSERTION_SMALLER,256,257,0.5163052082061768
500_50_3,INSERTION_SMALLER,184,194,0.3969905376434326
500_50_4,INSERTION_SMALLER,128,132,0.5281867980957031
500_55_0,INSERTION_SMALLER,206,213,0.5157067775726318
500_55_1,TANDEM,157,163,0.3688220977783203
500_55_2,INSERTION_SMALLER,305,307,0.31061220169067383
500_55_3,INSERTION_SMALLER,243,245,0.46901845932006836
500_55_4,INVERSION,109,109,0.5280022621154785
500_60_0,INSERTION_SMALLER,139,141,0.5035386085510254
500_60_1,INSERTION_BIGGER,219,221,0.41854286193847656
500_60_2,INSERTION_SMALLER,238,240,0.41276049613952637
500_60_3,INSERTION_SMALLER,313,315,0.24803447723388672
500_60_4,INSERTION_SMALLER,102,103,0.27791380882263184
500_65_0,INSERTION_SMALLER,244,246,0.3611109256744385
500_65_1,INSERTION_SMALLER,163,165,0.4470655918121338
