,type,start,end,time(s)
500_30_0,DELETION,257,332,0.6188626289367676
500_30_1,DELETION,192,261,0.3209044933319092
500_30_2,DELETION,244,344,0.4933779239654541
500_30_3,TRANSLOCATION,287,0,0.511298656463623
500_30_4,DELETION,500,500,0.43757152557373047
500_35_0,DELETION,231,371,0.303255558013916
500_35_1,TRANSLOCATION,224,0,0.35988855361938477
500_35_2,DELETION,274,389,0.2969660758972168
500_35_3,DELETION,116,151,0.363828182220459
500_35_4,DELETION,218,296,0.3219938278198242
500_40_0,TRANSLOCATION,108,0,0.2981901168823242
500_40_1,DELETION,218,379,0.23074793815612793
500_40_2,TRANSLOCATION,296,0,0.2723417282104492
500_40_3,DELETION,500,500,0.23190736770629883
500_40_4,TRANSLOCATION,192,0,0.27498936653137207
500_45_0,DELETION,97,196,0.4453084468841553
500_45_1,TRANSLOCATION,390,0,0.3224153518676758
500_45_2,DELETION,329,379,0.38016486167907715
500_45_3,DELETION,500,500,0.2137906551361084
500_45_4,DELETION,205,264,0.26314640045166016
500_50_0,DELETION,98,256,0.1798534393310547
500_50_1,DELETION,110,227,0.29735302925109863
500_50_2,DELETION,259,430,0.1392507553100586
500_50_3,DELETION,206,244,0.28159618377685547
500_50_4,DELETION,258,421,0.21821856498718262
500_55_0,DELETION,154,219,0.24462556838989258
500_55_1,DELETION,342,431,0.2952914237976074
500_55_2,DELETION,260,356,0.23994040489196777
500_55_3,DELETION,104,223,0.24635839462280273
500_55_4,TRANSLOCATION,263,0,0.20833826065063477
500_60_0,DELETION,123,280,0.17406558990478516
500_60_1,DELETION,305,358,0.18735074996948242
500_60_2,TRANSLOCATION,113,0,0.18720006942749023
500_60_3,DELETION,309,389,0.16634774208068848
500_60_4,DELETION,127,235,0.1922924518585205
500_65_0,TRANSLOCATION,286,0,0.21195125579833984
500_65_1,DELETION,187,233,0.2972683906555176
500_65_2,DELETION,132,177,0.2449953556060791
500_65_3,DELETION,124,279,0.12920451164245605
500_65_4,DELETION,133,249,0.18443536758422852
500_70_0,DELETION,206,360,0.1466968059539795
500_70_1,DELETION,188,306,0.2065749168395996
500_70_2,DELETION,251,389,0.14794158935546875
500_70_3,DELETION,146,206,0.276653528213501
500_70_4,DELETION,122,208,0.15349769592285156
500_75_0,DELETION,131,260,0.14469552040100098
500_75_1,DELETION,210,344,0.22559762001037598
500_75_2,DELETION,229,329,0.2157125473022461
500_75_3,DELETION,139,242,0.15244626998901367
500_75_4,DELETION,226,371,0.13184022903442383
600_30_0,DELETION,411,513,0.43781065940856934
600_30_1,DELETION,291,475,0.3719499111175537
600_30_2,DELETION,161,196,0.7968173027038574
600_30_3,TRANSLOCATION,368,0,0.5079009532928467
600_30_4,DELETION,600,600,0.5484254360198975
600_35_0,DELETION,302,432,0.42817068099975586
600_35_1,DELETION,269,439,0.3889925479888916
600_35_2,DELETION,600,600,0.34710097312927246
600_35_3,TRANSLOCATION,458,0,0.4737732410430908
600_35_4,DELETION,109,172,0.5659236907958984
600_40_0,DELETION,93,223,0.3251523971557617
600_40_1,DELETION,130,239,0.43706846237182617
600_40_2,DELETION,106,282,0.25777530670166016
600_40_3,DELETION,152,226,0.4669170379638672
600_40_4,DELETION,142,256,0.44640469551086426
600_45_0,DELETION,214,411,0.3953547477722168
600_45_1,DELETION,79,128,0.3467879295349121
600_45_2,DELETION,327,421,0.33037257194519043
600_45_3,DELETION,147,182,0.48987865447998047
600_45_4,DELETION,186,276,0.35764217376708984
600_50_0,DELETION,434,487,0.34548187255859375
600_50_1,DELETION,185,366,0.3914673328399658
600_50_2,DELETION,364,493,0.30608439445495605
600_50_3,DELETION,249,445,0.3432443141937256
600_50_4,DELETION,318,423,0.34358835220336914
600_55_0,DELETION,219,389,0.2761399745941162
600_55_1,DELETION,92,239,0.32422590255737305
600_55_2,DELETION,253,320,0.30284762382507324
600_55_3,TRANSLOCATION,350,0,0.34632134437561035
600_55_4,DELETION,224,344,0.2721841335296631
600_60_0,TRANSLOCATION,294,0,0.36130404472351074
600_60_1,TRANSLOCATION,244,0,0.2708733081817627
600_60_2,DELETION,193,303,0.28263139724731445
600_60_3,DELETION,198,396,0.21248650550842285
600_60_4,DELETION,233,315,0.3245260715484619
600_65_0,DELETION,600,600,0.2064812183380127
600_65_1,DELETION,119,331,0.20659375190734863
600_65_2,DELETION,600,600,0.23114562034606934
600_65_3,DELETION,235,400,0.2801930904388428
600_65_4,DELETION,392,436,0.22900128364562988
600_70_0,DELETION,363,437,0.2645576000213623
600_70_1,DELETION,232,427,0.16391682624816895
600_70_2,DELETION,274,388,0.21155858039855957
600_70_3,DELETION,147,226,0.3139793872833252
600_70_4,TRANSLOCATION,144,0,0.23781561851501465
600_75_0,DELETION,143,340,0.1523604393005371
600_75_1,DELETION,233,313,0.2389535903930664
600_75_2,DELETION,164,270,0.26499438285827637
600_75_3,DELETION,185,355,0.248152494430542
600_75_4,DELETION,199,389,0.20997095108032227
700_30_0,DELETION,130,158,0.708223819732666
700_30_1,DELETION,480,549,0.6636703014373779
700_30_2,DELETION,105,262,0.5422468185424805
700_30_3,DELETION,380,427,0.7407772541046143
700_30_4,DELETION,334,384,1.1792397499084473
700_35_0,DELETION,149,249,0.5878615379333496
700_35_1,DELETION,522,605,0.5518264770507812
700_35_2,DELETION,101,167,0.8288917541503906
700_35_3,DELETION,330,473,0.6107766628265381
700_35_4,DELETION,275,423,0.5679073333740234
700_40_0,DELETION,360,562,0.423309326171875
700_40_1,TRANSLOCATION,355,0,0.39663124084472656
700_40_2,DELETION,218,297,0.7074296474456787
700_40_3,TRANSLOCATION,458,0,0.34124279022216797
700_40_4,TRANSLOCATION,461,0,0.36857056617736816
700_45_0,DELETION,251,296,0.640362024307251
700_45_1,DELETION,243,442,0.4256744384765625
700_45_2,TRANSLOCATION,411,0,0.44051098823547363
700_45_3,DELETION,318,458,0.5349102020263672
700_45_4,DELETION,316,399,0.4339110851287842
700_50_0,DELETION,450,518,0.643172025680542
700_50_1,DELETION,397,499,0.43909597396850586
700_50_2,DELETION,285,335,0.6340060234069824
700_50_3,DELETION,446,540,0.4151761531829834
700_50_4,DELETION,377,562,0.39934253692626953
700_55_0,DELETION,426,506,0.47159290313720703
700_55_1,DELETION,320,393,0.3811788558959961
700_55_2,DELETION,236,471,0.3196232318878174
700_55_3,DELETION,160,348,0.37778306007385254
700_55_4,DELETION,302,495,0.33130574226379395
700_60_0,DELETION,249,492,0.22492408752441406
700_60_1,TRANSLOCATION,409,0,0.31919145584106445
700_60_2,DELETION,149,351,0.3352940082550049
700_60_3,TRANSLOCATION,123,0,0.32580089569091797
700_60_4,TRANSLOCATION,253,0,0.2527647018432617
700_65_0,TRANSLOCATION,204,0,0.23218464851379395
700_65_1,DELETION,221,314,0.3109266757965088
700_65_2,DELETION,278,394,0.5133068561553955
700_65_3,DELETION,323,547,0.2675948143005371
700_65_4,DELETION,247,469,0.22912979125976562
700_70_0,DELETION,299,529,0.2091538906097412
700_70_1,DELETION,254,394,0.38708972930908203
700_70_2,DELETION,389,453,0.3222641944885254
700_70_3,DELETION,381,459,0.29480409622192383
700_70_4,DELETION,220,405,0.2720353603363037
700_75_0,DELETION,314,487,0.22883296012878418
700_75_1,DELETION,181,399,0.2574615478515625
700_75_2,DELETION,287,398,0.2558727264404297
700_75_3,DELETION,700,700,0.2313988208770752
700_75_4,DELETION,398,539,0.2677760124206543
800_30_0,DELETION,385,443,0.9805841445922852
800_30_1,TRANSLOCATION,569,0,0.5113720893859863
800_30_2,DELETION,213,316,1.0095899105072021
800_30_3,DELETION,328,500,0.7723350524902344
800_30_4,DELETION,540,609,0.8138763904571533
