,real_type,real_start,real_end,read_count,var_size,type,start,end,time(s)
500_30_0,TRANSLOCATION,403,0,181,97,TANDEM,500,500,0.789265633
500_30_1,TRANSLOCATION,464,0,148,36,TRANSLOCATION,456,0,0.646634102
500_30_2,TRANSLOCATION,461,0,158,39,TANDEM,500,500,0.687669039
500_30_3,TRANSLOCATION,472,0,137,28,TRANSLOCATION,288,0,0.590758801
500_30_4,TRANSLOCATION,473,0,228,27,TRANSLOCATION,474,0,0.964013338
500_35_0,TRANSLOCATION,478,0,91,22,TRANSLOCATION,480,0,0.403565884
500_35_1,TRANSLOCATION,423,0,154,77,TRANSLOCATION,423,0,0.700629234
500_35_2,TRANSLOCATION,470,0,100,30,TRANSLOCATION,470,0,0.441912889
500_35_3,TRANSLOCATION,336,0,115,164,TRANSLOCATION,336,0,0.520045757
500_35_4,TRANSLOCATION,367,0,116,133,TRANSLOCATION,367,0,0.524831772
500_40_0,TRANSLOCATION,346,0,67,154,TRANSLOCATION,346,0,0.322239637
500_40_1,TRANSLOCATION,468,0,82,32,TRANSLOCATION,468,0,0.37713933
500_40_2,TRANSLOCATION,479,0,70,21,TRANSLOCATION,480,0,0.320666552
500_40_3,TRANSLOCATION,413,0,72,87,TANDEM,500,500,0.329106808
500_40_4,TRANSLOCATION,401,0,87,99,TRANSLOCATION,393,0,0.396598339
500_45_0,TRANSLOCATION,343,0,74,157,TRANSLOCATION,343,0,0.360350132
500_45_1,TRANSLOCATION,394,0,73,106,TRANSLOCATION,394,0,0.36447978
500_45_2,TRANSLOCATION,441,0,98,59,TRANSLOCATION,434,0,0.476353407
500_45_3,TRANSLOCATION,462,0,59,38,TRANSLOCATION,463,0,0.296305895
500_45_4,TRANSLOCATION,468,0,66,32,TRANSLOCATION,469,0,0.317488432
500_50_0,TRANSLOCATION,356,0,72,144,TRANSLOCATION,356,0,0.373892546
500_50_1,TRANSLOCATION,462,0,77,38,TRANSLOCATION,462,0,0.41690135
500_50_2,TRANSLOCATION,457,0,79,43,TRANSLOCATION,454,0,0.398714066
500_50_3,TRANSLOCATION,410,0,92,90,TRANSLOCATION,410,0,0.465741158
500_50_4,TRANSLOCATION,387,0,86,113,TRANSLOCATION,387,0,0.430210829
500_55_0,TRANSLOCATION,349,0,48,151,TRANSLOCATION,350,0,0.265831709
500_55_1,TRANSLOCATION,416,0,67,84,TRANSLOCATION,416,0,0.355908871
500_55_2,TRANSLOCATION,436,0,53,64,TRANSLOCATION,437,0,0.279393435
500_55_3,TRANSLOCATION,445,0,63,55,TRANSLOCATION,445,0,0.331681728
500_55_4,TRANSLOCATION,374,0,86,126,TRANSLOCATION,372,0,0.455776453
500_60_0,TRANSLOCATION,349,0,50,151,TRANSLOCATION,349,0,0.281061649
500_60_1,TRANSLOCATION,338,0,46,162,TRANSLOCATION,338,0,0.258871794
500_60_2,TRANSLOCATION,456,0,42,44,TANDEM,500,500,0.232860327
500_60_3,TRANSLOCATION,375,0,54,125,TRANSLOCATION,375,0,0.314769745
500_60_4,TRANSLOCATION,347,0,85,153,TRANSLOCATION,347,0,0.482097387
500_65_0,TRANSLOCATION,374,0,41,126,TRANSLOCATION,374,0,0.23383522
500_65_1,TRANSLOCATION,408,0,45,92,TRANSLOCATION,401,0,0.253643036
500_65_2,TRANSLOCATION,403,0,56,97,TRANSLOCATION,390,0,0.319297314
500_65_3,TRANSLOCATION,440,0,53,60,TRANSLOCATION,419,0,0.300416946
500_65_4,TRANSLOCATION,392,0,50,108,TRANSLOCATION,391,0,0.313268661
500_70_0,TRANSLOCATION,348,0,51,152,TRANSLOCATION,340,0,0.300932884
500_70_1,TRANSLOCATION,429,0,35,71,TRANSLOCATION,429,0,0.208170891
500_70_2,TRANSLOCATION,464,0,52,36,TRANSLOCATION,444,0,0.301957369
500_70_3,TRANSLOCATION,405,0,38,95,TRANSLOCATION,407,0,0.229310751
500_70_4,TRANSLOCATION,420,0,39,80,TRANSLOCATION,421,0,0.253669262
500_75_0,TRANSLOCATION,454,0,57,46,TRANSLOCATION,454,0,0.3385005
500_75_1,TRANSLOCATION,382,0,39,118,TANDEM,500,500,0.240568399
500_75_2,TRANSLOCATION,409,0,37,91,TRANSLOCATION,409,0,0.224539995
500_75_3,TRANSLOCATION,359,0,37,141,TRANSLOCATION,359,0,0.225873232
500_75_4,TRANSLOCATION,365,0,41,135,TRANSLOCATION,346,0,0.236842394
600_30_0,TRANSLOCATION,491,0,113,109,TRANSLOCATION,491,0,0.614079475
600_30_1,TRANSLOCATION,516,0,134,84,TRANSLOCATION,516,0,0.753288984
600_30_2,TRANSLOCATION,506,0,130,94,TRANSLOCATION,495,0,0.731099606
600_30_3,TRANSLOCATION,560,0,109,40,TRANSLOCATION,558,0,0.60623312
600_30_4,TRANSLOCATION,563,0,136,37,TRANSLOCATION,268,0,0.751527309
600_35_0,TRANSLOCATION,514,0,98,86,TRANSLOCATION,514,0,0.556427717
600_35_1,TRANSLOCATION,496,0,101,104,TANDEM,600,600,0.60355401
600_35_2,TRANSLOCATION,451,0,77,149,TRANSLOCATION,451,0,0.451599598
600_35_3,TRANSLOCATION,448,0,97,152,TRANSLOCATION,449,0,0.572464228
600_35_4,TRANSLOCATION,450,0,122,150,TRANSLOCATION,450,0,0.742955208
600_40_0,TRANSLOCATION,419,0,70,181,TRANSLOCATION,411,0,0.449524879
600_40_1,TRANSLOCATION,570,0,91,30,TRANSLOCATION,570,0,0.556138992
600_40_2,TRANSLOCATION,420,0,97,180,TRANSLOCATION,421,0,0.668659449
600_40_3,TRANSLOCATION,413,0,110,187,TRANSLOCATION,414,0,0.694746971
600_40_4,TRANSLOCATION,429,0,76,171,TRANSLOCATION,429,0,0.468122721
600_45_0,TRANSLOCATION,508,0,80,92,TRANSLOCATION,508,0,0.510399103
600_45_1,TRANSLOCATION,432,0,72,168,TRANSLOCATION,433,0,0.470716476
600_45_2,TRANSLOCATION,412,0,77,188,TRANSLOCATION,414,0,0.508350611
600_45_3,TRANSLOCATION,470,0,91,130,TRANSLOCATION,470,0,0.581995487
