,real_type,real_start,real_end,read_count,var_size,type,start,end,time(s)
500_30_0,INVERSION,58,102,130,44,INVERSION,58,101,0.55916428565979
500_30_1,INVERSION,320,375,123,55,TRANSLOCATION,373,0,0.531851053237915
500_30_2,INVERSION,427,522,115,95,TRANSLOCATION,428,0,0.4973294734954834
500_30_3,INVERSION,201,351,120,150,TANDEM,358,201,0.5075428485870361
500_30_4,INVERSION,106,218,231,112,INVERSION,106,217,1.0025854110717773
500_35_0,INVERSION,296,449,117,153,TANDEM,447,297,0.5249245166778564
500_35_1,INVERSION,345,420,102,75,INVERSION,346,418,0.44843578338623047
500_35_2,INVERSION,49,186,134,137,TANDEM,184,50,0.6092562675476074
500_35_3,INVERSION,82,136,97,54,INVERSION,84,133,0.44347572326660156
500_35_4,INVERSION,381,466,157,85,TRANSLOCATION,381,0,0.6898148059844971
500_40_0,INVERSION,343,496,76,153,TRANSLOCATION,343,0,0.3606588840484619
500_40_1,INVERSION,307,333,80,26,INVERSION,324,311,0.36811113357543945
500_40_2,INVERSION,197,280,67,83,INVERSION,197,279,0.31420326232910156
500_40_3,INVERSION,57,88,77,31,INVERSION,500,500,0.3699460029602051
500_40_4,INVERSION,70,108,81,38,INVERSION,70,107,0.37604737281799316
500_45_0,INVERSION,74,239,75,165,INVERSION,77,235,0.36574697494506836
500_45_1,INVERSION,180,285,64,105,TRANSLOCATION,291,0,0.30901360511779785
500_45_2,INVERSION,113,149,58,36,INVERSION,113,119,0.2853395938873291
500_45_3,INVERSION,185,251,70,66,TRANSLOCATION,250,0,0.3428959846496582
500_45_4,INVERSION,403,458,73,55,INVERSION,500,500,0.3522942066192627
500_50_0,INVERSION,174,243,72,69,INVERSION,176,251,0.371021032333374
500_50_1,INVERSION,186,329,96,143,INVERSION,186,328,0.47658395767211914
500_50_2,INVERSION,176,227,71,51,INVERSION,164,226,0.3538696765899658
500_50_3,INVERSION,105,237,83,132,INVERSION,105,236,0.41400909423828125
500_50_4,INVERSION,239,277,82,38,INVERSION,239,276,0.4158618450164795
500_55_0,INVERSION,203,259,62,56,INVERSION,203,258,0.32831716537475586
500_55_1,INVERSION,192,337,58,145,INVERSION,193,335,0.3113110065460205
500_55_2,INVERSION,312,394,73,82,INVERSION,312,407,0.3838200569152832
500_55_3,INVERSION,195,240,49,45,TRANSLOCATION,238,0,0.26280736923217773
500_55_4,INVERSION,256,299,56,43,INVERSION,256,298,0.29924535751342773
500_60_0,INVERSION,176,213,62,37,INVERSION,178,210,0.3356454372406006
500_60_1,INVERSION,318,372,62,54,INVERSION,318,326,0.34179019927978516
500_60_2,INVERSION,346,381,61,35,INVERSION,346,380,0.3310823440551758
500_60_3,INVERSION,337,452,64,115,TRANSLOCATION,337,0,0.3486335277557373
500_60_4,INVERSION,171,313,59,142,INVERSION,169,312,0.3233366012573242
500_65_0,INVERSION,277,316,57,39,INVERSION,278,314,0.32097291946411133
500_65_1,INVERSION,180,239,52,59,INVERSION,180,239,0.30029749870300293
500_65_2,INVERSION,366,435,34,69,TRANSLOCATION,434,0,0.19762897491455078
500_65_3,INVERSION,154,254,51,100,INVERSION,157,269,0.29021549224853516
500_65_4,INVERSION,347,429,48,82,TRANSLOCATION,326,0,0.2633073329925537
500_70_0,INVERSION,272,433,49,161,TRANSLOCATION,272,0,0.2814927101135254
500_70_1,INVERSION,332,393,54,61,INVERSION,332,392,0.31592607498168945
500_70_2,INVERSION,294,370,51,76,INVERSION,295,368,0.2950751781463623
500_70_3,INVERSION,158,292,41,134,INVERSION,153,311,0.2459549903869629
500_70_4,INVERSION,351,491,41,140,TRANSLOCATION,331,0,0.2399141788482666
500_75_0,INVERSION,330,476,34,146,INVERSION,500,500,0.20371699333190918
500_75_1,INVERSION,132,261,40,129,INVERSION,113,260,0.2434389591217041
500_75_2,INVERSION,218,359,43,141,INVERSION,218,358,0.25882697105407715
500_75_3,INVERSION,305,442,43,137,TRANSLOCATION,287,0,0.2577786445617676
500_75_4,INVERSION,193,304,41,111,INVERSION,193,303,0.24538040161132812
600_30_0,INVERSION,135,289,87,154,TRANSLOCATION,135,0,0.5030534267425537
600_30_1,INVERSION,189,324,122,135,INVERSION,183,323,0.6856598854064941
600_30_2,INVERSION,379,550,92,171,TRANSLOCATION,379,0,0.509580135345459
600_30_3,INVERSION,414,475,159,61,INVERSION,265,473,0.8851661682128906
600_30_4,INVERSION,337,373,134,36,TRANSLOCATION,372,0,0.754249095916748
600_35_0,INVERSION,381,552,89,171,TANDEM,551,381,0.5245263576507568
600_35_1,INVERSION,430,527,101,97,TRANSLOCATION,431,0,0.5813875198364258
