,real_type,real_start,real_end,read_count,var_size
500_30_0,INVERSION,58,102,130,44
500_30_1,INVERSION,320,375,123,55
500_30_2,INVERSION,427,522,115,95
500_30_3,INVERSION,201,351,120,150
500_30_4,INVERSION,106,218,231,112
500_35_0,INVERSION,296,449,117,153
500_35_1,INVERSION,345,420,102,75
500_35_2,INVERSION,49,186,134,137
500_35_3,INVERSION,82,136,97,54
500_35_4,INVERSION,381,466,157,85
500_40_0,INVERSION,343,496,76,153
500_40_1,INVERSION,307,333,80,26
500_40_2,INVERSION,197,280,67,83
500_40_3,INVERSION,57,88,77,31
500_40_4,INVERSION,70,108,81,38
500_45_0,INVERSION,74,239,75,165
500_45_1,INVERSION,180,285,64,105
500_45_2,INVERSION,113,149,58,36
500_45_3,INVERSION,185,251,70,66
500_45_4,INVERSION,403,458,73,55
500_50_0,INVERSION,174,243,72,69
500_50_1,INVERSION,186,329,96,143
500_50_2,INVERSION,176,227,71,51
500_50_3,INVERSION,105,237,83,132
500_50_4,INVERSION,239,277,82,38
500_55_0,INVERSION,203,259,62,56
500_55_1,INVERSION,192,337,58,145
500_55_2,INVERSION,312,394,73,82
500_55_3,INVERSION,195,240,49,45
500_55_4,INVERSION,256,299,56,43
500_60_0,INVERSION,176,213,62,37
500_60_1,INVERSION,318,372,62,54
500_60_2,INVERSION,346,381,61,35
500_60_3,INVERSION,337,452,64,115
500_60_4,INVERSION,171,313,59,142
500_65_0,INVERSION,277,316,57,39
500_65_1,INVERSION,180,239,52,59
500_65_2,INVERSION,366,435,34,69
500_65_3,INVERSION,154,254,51,100
500_65_4,INVERSION,347,429,48,82
500_70_0,INVERSION,272,433,49,161
500_70_1,INVERSION,332,393,54,61
500_70_2,INVERSION,294,370,51,76
500_70_3,INVERSION,158,292,41,134
500_70_4,INVERSION,351,491,41,140
500_75_0,INVERSION,330,476,34,146
500_75_1,INVERSION,132,261,40,129
500_75_2,INVERSION,218,359,43,141
500_75_3,INVERSION,305,442,43,137
500_75_4,INVERSION,193,304,41,111
600_30_0,INVERSION,135,289,87,154
600_30_1,INVERSION,189,324,122,135
600_30_2,INVERSION,379,550,92,171
600_30_3,INVERSION,414,475,159,61
600_30_4,INVERSION,337,373,134,36
600_35_0,INVERSION,381,552,89,171
600_35_1,INVERSION,430,527,101,97
600_35_2,INVERSION,509,698,90,189
600_35_3,INVERSION,219,359,99,140
600_35_4,INVERSION,275,428,132,153
600_40_0,INVERSION,492,578,105,86
600_40_1,INVERSION,375,453,75,78
600_40_2,INVERSION,130,233,72,103
600_40_3,INVERSION,506,680,65,174
600_40_4,INVERSION,467,587,77,120
600_45_0,INVERSION,293,456,94,163
600_45_1,INVERSION,485,592,121,107
600_45_2,INVERSION,133,208,73,75
600_45_3,INVERSION,161,249,62,88
600_45_4,INVERSION,195,299,59,104
600_50_0,INVERSION,372,565,73,193
600_50_1,INVERSION,210,349,57,139
600_50_2,INVERSION,313,415,53,102
600_50_3,INVERSION,318,364,59,46
600_50_4,INVERSION,93,253,94,160
600_55_0,INVERSION,455,577,43,122
600_55_1,INVERSION,290,399,60,109
600_55_2,INVERSION,264,437,63,173
600_55_3,INVERSION,143,256,55,113
600_55_4,INVERSION,212,299,50,87
600_60_0,INVERSION,391,486,38,95
600_60_1,INVERSION,181,237,57,56
600_60_2,INVERSION,128,309,43,181
600_60_3,INVERSION,395,594,48,199
600_60_4,INVERSION,284,323,40,39
600_65_0,INVERSION,300,458,43,158
600_65_1,INVERSION,430,546,40,116
600_65_2,INVERSION,119,318,55,199
600_65_3,INVERSION,159,315,45,156
600_65_4,INVERSION,311,415,54,104
600_70_0,INVERSION,466,578,33,112
600_70_1,INVERSION,188,307,42,119
600_70_2,INVERSION,192,290,47,98
600_70_3,INVERSION,281,418,50,137
600_70_4,INVERSION,454,651,47,197
600_75_0,INVERSION,328,376,42,48
600_75_1,INVERSION,160,342,44,182
600_75_2,INVERSION,403,486,41,83
600_75_3,INVERSION,243,422,32,179
600_75_4,INVERSION,325,492,37,167
700_30_0,INVERSION,306,485,161,179
700_30_1,INVERSION,418,518,89,100
700_30_2,INVERSION,571,741,91,170
700_30_3,INVERSION,538,584,95,46
700_30_4,INVERSION,558,708,163,150
700_35_0,INVERSION,190,342,96,152
700_35_1,INVERSION,567,674,109,107
700_35_2,INVERSION,534,635,71,101
700_35_3,INVERSION,468,686,94,218
700_35_4,INVERSION,225,277,84,52
700_40_0,INVERSION,333,394,78,61
700_40_1,INVERSION,337,493,112,156
700_40_2,INVERSION,184,216,65,32
700_40_3,INVERSION,174,231,69,57
700_40_4,INVERSION,80,175,82,95
700_45_0,INVERSION,590,718,74,128
700_45_1,INVERSION,134,267,125,133
700_45_2,INVERSION,204,258,74,54
700_45_3,INVERSION,183,222,81,39
700_45_4,INVERSION,435,493,59,58
700_50_0,INVERSION,381,480,68,99
700_50_1,INVERSION,350,547,90,197
700_50_2,INVERSION,563,637,88,74
700_50_3,INVERSION,395,488,67,93
700_50_4,INVERSION,342,502,62,160
700_55_0,INVERSION,505,547,49,42
700_55_1,INVERSION,570,651,50,81
700_55_2,INVERSION,386,544,59,158
700_55_3,INVERSION,320,409,58,89
700_55_4,INVERSION,144,365,65,221
700_60_0,INVERSION,396,565,57,169
700_60_1,INVERSION,392,554,71,162
700_60_2,INVERSION,399,530,50,131
700_60_3,INVERSION,400,578,56,178
700_60_4,INVERSION,230,308,45,78
700_65_0,INVERSION,330,524,50,194
700_65_1,INVERSION,487,575,47,88
700_65_2,INVERSION,440,623,54,183
700_65_3,INVERSION,464,547,39,83
700_65_4,INVERSION,507,569,61,62
700_70_0,INVERSION,205,382,55,177
700_70_1,INVERSION,506,657,38,151
700_70_2,INVERSION,312,531,42,219
700_70_3,INVERSION,436,613,51,177
700_70_4,INVERSION,351,421,40,70
700_75_0,INVERSION,148,221,35,73
700_75_1,INVERSION,349,455,38,106
700_75_2,INVERSION,156,327,41,171
700_75_3,INVERSION,301,465,36,164
700_75_4,INVERSION,286,373,39,87
800_30_0,INVERSION,338,526,113,188
800_30_1,INVERSION,495,552,91,57
800_30_2,INVERSION,295,440,136,145
800_30_3,INVERSION,305,348,91,43
800_30_4,INVERSION,388,475,119,87
800_35_0,INVERSION,343,466,103,123
800_35_1,INVERSION,366,572,113,206
800_35_2,INVERSION,391,464,108,73
800_35_3,INVERSION,259,319,99,60
800_35_4,INVERSION,500,623,102,123
800_40_0,INVERSION,560,796,66,236
800_40_1,INVERSION,645,766,95,121
800_40_2,INVERSION,563,680,83,117
800_40_3,INVERSION,193,347,78,154
800_40_4,INVERSION,298,363,82,65
800_45_0,INVERSION,630,767,70,137
800_45_1,INVERSION,383,646,77,263
800_45_2,INVERSION,372,482,59,110
800_45_3,INVERSION,281,368,60,87
800_45_4,INVERSION,552,723,77,171
800_50_0,INVERSION,449,563,73,114
800_50_1,INVERSION,220,324,67,104
800_50_2,INVERSION,323,433,53,110
800_50_3,INVERSION,515,602,53,87
800_50_4,INVERSION,137,400,55,263
800_55_0,INVERSION,409,651,53,242
800_55_1,INVERSION,351,615,66,264
800_55_2,INVERSION,389,560,49,171
800_55_3,INVERSION,345,577,60,232
800_55_4,INVERSION,557,822,76,265
800_60_0,INVERSION,278,336,45,58
800_60_1,INVERSION,543,593,54,50
800_60_2,INVERSION,154,302,44,148
800_60_3,INVERSION,551,814,45,263
800_60_4,INVERSION,307,476,60,169
800_65_0,INVERSION,324,425,40,101
800_65_1,INVERSION,282,402,45,120
800_65_2,INVERSION,606,771,42,165
800_65_3,INVERSION,310,472,39,162
800_65_4,INVERSION,213,398,44,185
800_70_0,INVERSION,201,416,42,215
800_70_1,INVERSION,495,583,39,88
800_70_2,INVERSION,619,703,57,84
800_70_3,INVERSION,337,601,38,264
800_70_4,INVERSION,548,770,34,222
800_75_0,INVERSION,219,462,41,243
800_75_1,INVERSION,170,286,29,116
800_75_2,INVERSION,287,459,30,172
800_75_3,INVERSION,621,687,36,66
800_75_4,INVERSION,225,358,41,133
900_30_0,INVERSION,654,737,105,83
900_30_1,INVERSION,187,297,130,110
900_30_2,INVERSION,763,977,113,214
900_30_3,INVERSION,638,838,107,200
900_30_4,INVERSION,748,881,88,133
900_35_0,INVERSION,495,635,126,140
900_35_1,INVERSION,288,344,99,56
900_35_2,INVERSION,277,343,135,66
900_35_3,INVERSION,735,942,102,207
900_35_4,INVERSION,790,1030,111,240
900_40_0,INVERSION,429,542,66,113
900_40_1,INVERSION,762,912,100,150
900_40_2,INVERSION,297,557,80,260
900_40_3,INVERSION,478,657,86,179
900_40_4,INVERSION,251,522,99,271
900_45_0,INVERSION,603,674,70,71
900_45_1,INVERSION,410,585,69,175
900_45_2,INVERSION,451,526,95,75
900_45_3,INVERSION,297,393,53,96
900_45_4,INVERSION,302,376,77,74
900_50_0,INVERSION,179,376,73,197
900_50_1,INVERSION,705,808,66,103
900_50_2,INVERSION,332,519,64,187
900_50_3,INVERSION,584,809,75,225
900_50_4,INVERSION,650,774,84,124
900_55_0,INVERSION,629,840,68,211
900_55_1,INVERSION,650,818,64,168
900_55_2,INVERSION,375,592,46,217
900_55_3,INVERSION,770,1039,50,269
900_55_4,INVERSION,311,374,64,63
900_60_0,INVERSION,691,925,70,234
900_60_1,INVERSION,219,450,71,231
900_60_2,INVERSION,602,854,46,252
900_60_3,INVERSION,304,549,64,245
900_60_4,INVERSION,598,891,60,293
900_65_0,INVERSION,317,379,38,62
900_65_1,INVERSION,383,513,59,130
900_65_2,INVERSION,367,574,48,207
900_65_3,INVERSION,348,477,58,129
900_65_4,INVERSION,293,352,48,59
900_70_0,INVERSION,532,724,45,192
900_70_1,INVERSION,574,725,37,151
900_70_2,INVERSION,206,373,40,167
900_70_3,INVERSION,258,552,36,294
900_70_4,INVERSION,302,469,37,167
900_75_0,INVERSION,489,787,54,298
900_75_1,INVERSION,399,668,37,269
900_75_2,INVERSION,242,384,36,142
900_75_3,INVERSION,353,486,56,133
900_75_4,INVERSION,673,912,42,239
1000_30_0,INVERSION,406,638,95,232
1000_30_1,INVERSION,82,321,111,239
1000_30_2,INVERSION,124,240,174,116
1000_30_3,INVERSION,455,556,140,101
1000_30_4,INVERSION,611,885,98,274
1000_35_0,INVERSION,405,695,95,290
1000_35_1,INVERSION,504,638,126,134
1000_35_2,INVERSION,698,968,99,270
1000_35_3,INVERSION,700,913,151,213
1000_35_4,INVERSION,276,427,79,151
1000_40_0,INVERSION,876,1145,80,269
1000_40_1,INVERSION,668,833,117,165
1000_40_2,INVERSION,166,308,90,142
1000_40_3,INVERSION,265,362,107,97
1000_40_4,INVERSION,872,1046,83,174
1000_45_0,INVERSION,459,585,107,126
1000_45_1,INVERSION,736,911,101,175
1000_45_2,INVERSION,199,507,70,308
1000_45_3,INVERSION,740,834,63,94
1000_45_4,INVERSION,229,504,93,275
1000_50_0,INVERSION,169,377,63,208
1000_50_1,INVERSION,402,497,69,95
1000_50_2,INVERSION,792,1019,48,227
1000_50_3,INVERSION,366,674,52,308
1000_50_4,INVERSION,474,705,66,231
1000_55_0,INVERSION,226,526,44,300
1000_55_1,INVERSION,660,792,56,132
1000_55_2,INVERSION,725,849,48,124
1000_55_3,INVERSION,516,607,62,91
1000_55_4,INVERSION,259,345,62,86
1000_60_0,INVERSION,445,690,43,245
1000_60_1,INVERSION,454,618,64,164
1000_60_2,INVERSION,763,1008,58,245
1000_60_3,INVERSION,535,651,52,116
1000_60_4,INVERSION,316,567,49,251
1000_65_0,INVERSION,540,628,38,88
1000_65_1,INVERSION,563,737,37,174
1000_65_2,INVERSION,382,710,60,328
1000_65_3,INVERSION,255,383,42,128
1000_65_4,INVERSION,453,724,52,271
1000_70_0,INVERSION,567,804,56,237
1000_70_1,INVERSION,738,919,47,181
1000_70_2,INVERSION,379,692,37,313
1000_70_3,INVERSION,489,636,39,147
1000_70_4,INVERSION,445,608,50,163
1000_75_0,INVERSION,667,919,39,252
1000_75_1,INVERSION,701,820,30,119
1000_75_2,INVERSION,752,1047,32,295
1000_75_3,INVERSION,755,897,47,142
1000_75_4,INVERSION,551,683,44,132
1100_30_0,INVERSION,889,1236,100,347
1100_30_1,INVERSION,136,298,94,162
1100_30_2,INVERSION,762,924,125,162
1100_30_3,INVERSION,609,886,115,277
1100_30_4,INVERSION,892,1144,126,252
1100_35_0,INVERSION,343,498,119,155
1100_35_1,INVERSION,844,919,83,75
1100_35_2,INVERSION,879,1010,96,131
1100_35_3,INVERSION,288,573,122,285
1100_35_4,INVERSION,909,1020,96,111
1100_40_0,INVERSION,261,389,69,128
1100_40_1,INVERSION,861,932,89,71
1100_40_2,INVERSION,573,779,75,206
1100_40_3,INVERSION,131,488,90,357
1100_40_4,INVERSION,537,588,92,51
1100_45_0,INVERSION,300,350,71,50
1100_45_1,INVERSION,569,873,63,304
1100_45_2,INVERSION,652,780,79,128
1100_45_3,INVERSION,619,908,89,289
1100_45_4,INVERSION,651,759,87,108
1100_50_0,INVERSION,627,893,71,266
1100_50_1,INVERSION,492,796,55,304
1100_50_2,INVERSION,559,774,66,215
1100_50_3,INVERSION,795,1020,69,225
1100_50_4,INVERSION,608,727,55,119
1100_55_0,INVERSION,893,997,53,104
1100_55_1,INVERSION,386,466,57,80
1100_55_2,INVERSION,274,468,50,194
1100_55_3,INVERSION,881,1020,63,139
1100_55_4,INVERSION,401,533,46,132
1100_60_0,INVERSION,555,685,49,130
1100_60_1,INVERSION,428,723,56,295
1100_60_2,INVERSION,861,996,43,135
1100_60_3,INVERSION,275,488,45,213
1100_60_4,INVERSION,858,1092,54,234
1100_65_0,INVERSION,714,1007,39,293
1100_65_1,INVERSION,600,807,51,207
1100_65_2,INVERSION,841,1134,52,293
1100_65_3,INVERSION,430,540,36,110
1100_65_4,INVERSION,325,486,41,161
1100_70_0,INVERSION,590,701,32,111
1100_70_1,INVERSION,633,956,38,323
1100_70_2,INVERSION,411,655,38,244
1100_70_3,INVERSION,268,410,38,142
1100_70_4,INVERSION,611,735,41,124
1100_75_0,INVERSION,550,830,43,280
1100_75_1,INVERSION,635,777,48,142
1100_75_2,INVERSION,462,781,34,319
1100_75_3,INVERSION,365,483,31,118
1100_75_4,INVERSION,455,616,32,161
