,real_type,real_start,real_end,read_count,var_size
500_30_0,INSERTION_SMALLER,197,198,172,140
500_30_1,INSERTION_SMALLER,123,124,145,52
500_30_2,INSERTION_SMALLER,147,148,146,46
500_30_3,INSERTION_SMALLER,202,203,157,34
500_30_4,INSERTION_SMALLER,420,421,113,55
500_35_0,INSERTION_SMALLER,62,63,102,101
500_35_1,INSERTION_SMALLER,363,364,131,77
500_35_2,INSERTION_SMALLER,396,397,102,71
500_35_3,INSERTION_SMALLER,124,125,134,161
500_35_4,INSERTION_SMALLER,174,175,133,118
500_40_0,INSERTION_SMALLER,210,211,97,35
500_40_1,INSERTION_SMALLER,364,365,89,92
500_40_2,INSERTION_SMALLER,93,94,92,56
500_40_3,INSERTION_SMALLER,352,353,79,27
500_40_4,INSERTION_SMALLER,100,101,77,125
500_45_0,INSERTION_SMALLER,382,383,99,118
500_45_1,INSERTION_SMALLER,367,368,83,63
500_45_2,INSERTION_SMALLER,184,185,96,127
500_45_3,INSERTION_SMALLER,188,189,76,75
500_45_4,INSERTION_SMALLER,238,239,82,147
500_50_0,INSERTION_SMALLER,327,328,72,117
500_50_1,INSERTION_SMALLER,271,272,99,141
500_50_2,INSERTION_SMALLER,257,258,96,92
500_50_3,INSERTION_SMALLER,195,196,74,74
500_50_4,INSERTION_SMALLER,130,131,95,166
500_55_0,INSERTION_SMALLER,214,215,95,48
500_55_1,INSERTION_SMALLER,160,161,67,64
500_55_2,INSERTION_SMALLER,306,307,56,74
500_55_3,INSERTION_SMALLER,244,245,84,70
500_55_4,INSERTION_SMALLER,111,112,93,99
500_60_0,INSERTION_SMALLER,140,141,81,163
500_60_1,INSERTION_SMALLER,220,221,73,45
500_60_2,INSERTION_SMALLER,240,241,70,133
500_60_3,INSERTION_SMALLER,315,316,44,65
500_60_4,INSERTION_SMALLER,103,104,48,61
500_65_0,INSERTION_SMALLER,246,247,61,57
500_65_1,INSERTION_SMALLER,164,165,75,89
500_65_2,INSERTION_SMALLER,376,377,45,43
500_65_3,INSERTION_SMALLER,112,113,49,91
500_65_4,INSERTION_SMALLER,334,335,54,118
500_70_0,INSERTION_SMALLER,211,212,77,151
500_70_1,INSERTION_SMALLER,122,123,52,95
500_70_2,INSERTION_SMALLER,307,308,61,69
500_70_3,INSERTION_SMALLER,133,134,42,87
500_70_4,INSERTION_SMALLER,309,310,55,63
500_75_0,INSERTION_SMALLER,195,196,55,84
500_75_1,INSERTION_SMALLER,306,307,42,69
500_75_2,INSERTION_SMALLER,368,369,49,146
500_75_3,INSERTION_SMALLER,262,263,50,162
500_75_4,INSERTION_SMALLER,367,368,48,125
600_30_0,INSERTION_SMALLER,143,144,115,151
600_30_1,INSERTION_SMALLER,331,332,148,48
600_30_2,INSERTION_SMALLER,322,323,118,54
600_30_3,INSERTION_SMALLER,195,196,114,100
600_30_4,INSERTION_SMALLER,80,81,160,168
600_35_0,INSERTION_SMALLER,256,257,124,149
600_35_1,INSERTION_SMALLER,430,431,132,30
600_35_2,INSERTION_SMALLER,477,478,133,114
600_35_3,INSERTION_SMALLER,459,460,109,42
600_35_4,INSERTION_SMALLER,211,212,131,180
600_40_0,INSERTION_SMALLER,507,508,100,171
600_40_1,INSERTION_SMALLER,385,386,145,185
600_40_2,INSERTION_SMALLER,206,207,136,197
600_40_3,INSERTION_SMALLER,96,97,101,103
600_40_4,INSERTION_SMALLER,272,273,125,107
600_45_0,INSERTION_SMALLER,518,519,101,27
600_45_1,INSERTION_SMALLER,339,340,85,45
600_45_2,INSERTION_SMALLER,379,380,107,134
600_45_3,INSERTION_SMALLER,123,124,104,143
600_45_4,INSERTION_SMALLER,107,108,87,168
600_50_0,INSERTION_SMALLER,310,311,73,87
600_50_1,INSERTION_SMALLER,484,485,92,73
600_50_2,INSERTION_SMALLER,208,209,82,86
600_50_3,INSERTION_SMALLER,420,421,82,185
600_50_4,INSERTION_SMALLER,235,236,64,62
600_55_0,INSERTION_SMALLER,98,99,75,142
600_55_1,INSERTION_SMALLER,283,284,78,89
600_55_2,INSERTION_SMALLER,227,228,63,88
