,real_type,real_start,real_end,read_count,var_size
500_30_0,TANDEM,62,98,193,36
500_30_1,TANDEM,45,195,139,150
500_30_2,TANDEM,204,280,153,76
500_30_3,TANDEM,216,336,293,120
500_30_4,TANDEM,346,404,166,58
500_35_0,TANDEM,250,406,134,156
500_35_1,TANDEM,62,164,167,102
500_35_2,TANDEM,165,277,98,112
500_35_3,TANDEM,124,162,124,38
500_35_4,TANDEM,230,274,101,44
500_40_0,TANDEM,86,148,75,62
500_40_1,TANDEM,82,115,86,33
500_40_2,TANDEM,262,407,116,145
500_40_3,TANDEM,327,350,84,23
500_40_4,TANDEM,201,284,76,83
500_45_0,TANDEM,275,306,79,31
500_45_1,TANDEM,227,282,88,55
500_45_2,TANDEM,269,376,152,107
500_45_3,TANDEM,330,370,59,40
500_45_4,TANDEM,144,246,99,102
500_50_0,TANDEM,140,180,66,40
500_50_1,TANDEM,79,218,87,139
500_50_2,TANDEM,186,298,77,112
500_50_3,TANDEM,219,379,137,160
500_50_4,TANDEM,190,356,110,166
500_55_0,TANDEM,282,394,109,112
500_55_1,TANDEM,121,205,61,84
500_55_2,TANDEM,80,141,71,61
500_55_3,TANDEM,238,390,81,152
500_55_4,TANDEM,351,395,83,44
500_60_0,TANDEM,267,307,55,40
500_60_1,TANDEM,156,302,69,146
500_60_2,TANDEM,145,267,61,122
500_60_3,TANDEM,213,264,43,51
500_60_4,TANDEM,227,313,77,86
500_65_0,TANDEM,170,272,53,102
500_65_1,TANDEM,239,398,60,159
500_65_2,TANDEM,141,193,58,52
500_65_3,TANDEM,240,309,50,69
500_65_4,TANDEM,123,221,59,98
500_70_0,TANDEM,120,213,49,93
500_70_1,TANDEM,115,193,55,78
500_70_2,TANDEM,104,245,61,141
500_70_3,TANDEM,108,221,56,113
500_70_4,TANDEM,181,281,50,100
500_75_0,TANDEM,122,287,50,165
500_75_1,TANDEM,183,229,57,46
500_75_2,TANDEM,216,356,62,140
500_75_3,TANDEM,229,310,58,81
500_75_4,TANDEM,132,278,54,146
600_30_0,TANDEM,184,324,108,140
600_30_1,TANDEM,266,442,159,176
600_30_2,TANDEM,438,457,192,19
600_30_3,TANDEM,353,553,167,200
600_30_4,TANDEM,449,505,100,56
600_35_0,TANDEM,436,500,148,64
600_35_1,TANDEM,136,300,149,164
600_35_2,TANDEM,325,427,96,102
600_35_3,TANDEM,308,446,105,138
600_35_4,TANDEM,160,351,162,191
600_40_0,TANDEM,397,485,87,88
600_40_1,TANDEM,259,373,73,114
600_40_2,TANDEM,158,185,76,27
600_40_3,TANDEM,393,442,82,49
600_40_4,TANDEM,278,387,100,109
600_45_0,TANDEM,216,279,71,63
600_45_1,TANDEM,372,440,98,68
600_45_2,TANDEM,128,312,112,184
600_45_3,TANDEM,313,375,87,62
600_45_4,TANDEM,456,486,101,30
600_50_0,TANDEM,122,152,97,30
600_50_1,TANDEM,115,290,92,175
600_50_2,TANDEM,320,430,69,110
600_50_3,TANDEM,189,281,58,92
600_50_4,TANDEM,281,331,65,50
600_55_0,TANDEM,162,244,57,82
600_55_1,TANDEM,155,333,79,178
600_55_2,TANDEM,167,259,67,92
600_55_3,TANDEM,201,335,75,134
600_55_4,TANDEM,335,396,49,61
600_60_0,TANDEM,372,458,58,86
600_60_1,TANDEM,206,395,71,189
600_60_2,TANDEM,337,403,48,66
600_60_3,TANDEM,220,302,67,82
600_60_4,TANDEM,223,334,60,111
600_65_0,TANDEM,182,361,61,179
600_65_1,TANDEM,291,380,63,89
600_65_2,TANDEM,285,328,54,43
600_65_3,TANDEM,172,354,70,182
600_65_4,TANDEM,314,471,62,157
600_70_0,TANDEM,169,334,71,165
600_70_1,TANDEM,202,269,50,67
600_70_2,TANDEM,267,386,50,119
600_70_3,TANDEM,187,356,57,169
600_70_4,TANDEM,242,322,47,80
600_75_0,TANDEM,237,399,56,162
600_75_1,TANDEM,177,325,51,148
600_75_2,TANDEM,122,226,43,104
600_75_3,TANDEM,247,352,45,105
600_75_4,TANDEM,333,385,35,52
700_30_0,TANDEM,376,453,116,77
700_30_1,TANDEM,259,368,101,109
700_30_2,TANDEM,331,364,197,33
700_30_3,TANDEM,223,269,156,46
700_30_4,TANDEM,198,332,174,134
700_35_0,TANDEM,442,471,119,29
700_35_1,TANDEM,465,504,137,39
700_35_2,TANDEM,112,254,159,142
700_35_3,TANDEM,394,474,121,80
700_35_4,TANDEM,409,527,100,118
700_40_0,TANDEM,206,262,100,56
700_40_1,TANDEM,345,467,75,122
700_40_2,TANDEM,166,337,77,171
700_40_3,TANDEM,345,419,101,74
700_40_4,TANDEM,478,587,79,109
700_45_0,TANDEM,237,393,75,156
700_45_1,TANDEM,482,574,85,92
700_45_2,TANDEM,234,355,74,121
700_45_3,TANDEM,248,401,71,153
700_45_4,TANDEM,182,324,81,142
700_50_0,TANDEM,241,473,127,232
700_50_1,TANDEM,355,458,88,103
700_50_2,TANDEM,312,349,55,37
700_50_3,TANDEM,368,514,76,146
700_50_4,TANDEM,216,343,92,127
700_55_0,TANDEM,302,523,76,221
700_55_1,TANDEM,168,211,56,43
700_55_2,TANDEM,454,579,56,125
700_55_3,TANDEM,226,331,57,105
700_55_4,TANDEM,183,408,102,225
700_60_0,TANDEM,247,455,58,208
700_60_1,TANDEM,361,494,51,133
700_60_2,TANDEM,432,518,58,86
700_60_3,TANDEM,406,481,56,75
700_60_4,TANDEM,407,466,73,59
700_65_0,TANDEM,164,356,59,192
700_65_1,TANDEM,356,518,55,162
700_65_2,TANDEM,170,402,82,232
700_65_3,TANDEM,223,373,68,150
700_65_4,TANDEM,223,354,49,131
700_70_0,TANDEM,315,506,59,191
700_70_1,TANDEM,413,527,56,114
700_70_2,TANDEM,382,524,48,142
700_70_3,TANDEM,228,429,78,201
700_70_4,TANDEM,440,546,60,106
700_75_0,TANDEM,341,438,53,97
700_75_1,TANDEM,352,431,45,79
700_75_2,TANDEM,415,550,48,135
700_75_3,TANDEM,279,479,59,200
700_75_4,TANDEM,362,466,41,104
800_30_0,TANDEM,187,252,100,65
800_30_1,TANDEM,99,191,126,92
800_30_2,TANDEM,535,683,116,148
800_30_3,TANDEM,353,502,135,149
800_30_4,TANDEM,109,375,165,266
800_35_0,TANDEM,401,567,128,166
800_35_1,TANDEM,144,244,129,100
800_35_2,TANDEM,318,481,96,163
800_35_3,TANDEM,336,549,156,213
800_35_4,TANDEM,218,469,107,251
800_40_0,TANDEM,142,211,77,69
800_40_1,TANDEM,191,265,77,74
800_40_2,TANDEM,280,468,97,188
800_40_3,TANDEM,287,368,73,81
800_40_4,TANDEM,376,578,89,202
800_45_0,TANDEM,184,389,112,205
800_45_1,TANDEM,571,647,90,76
800_45_2,TANDEM,324,408,71,84
800_45_3,TANDEM,448,561,70,113
800_45_4,TANDEM,432,654,84,222
800_50_0,TANDEM,540,609,75,69
800_50_1,TANDEM,135,190,76,55
800_50_2,TANDEM,548,654,68,106
800_50_3,TANDEM,148,269,73,121
800_50_4,TANDEM,319,452,81,133
800_55_0,TANDEM,223,444,71,221
800_55_1,TANDEM,352,493,55,141
800_55_2,TANDEM,229,343,68,114
800_55_3,TANDEM,268,520,87,252
800_55_4,TANDEM,252,500,65,248
800_60_0,TANDEM,449,519,51,70
800_60_1,TANDEM,258,374,48,116
800_60_2,TANDEM,331,559,76,228
800_60_3,TANDEM,468,616,64,148
800_60_4,TANDEM,211,426,76,215
800_65_0,TANDEM,466,599,49,133
800_65_1,TANDEM,332,568,50,236
800_65_2,TANDEM,405,504,58,99
800_65_3,TANDEM,277,427,64,150
800_65_4,TANDEM,386,456,39,70
800_70_0,TANDEM,292,516,51,224
800_70_1,TANDEM,234,317,57,83
800_70_2,TANDEM,205,367,65,162
800_70_3,TANDEM,239,458,67,219
800_70_4,TANDEM,245,459,45,214
800_75_0,TANDEM,421,591,38,170
800_75_1,TANDEM,290,495,54,205
800_75_2,TANDEM,214,461,58,247
800_75_3,TANDEM,471,533,44,62
800_75_4,TANDEM,354,612,49,258
900_30_0,TANDEM,91,212,128,121
900_30_1,TANDEM,325,538,177,213
900_30_2,TANDEM,484,727,151,243
900_30_3,TANDEM,220,358,151,138
900_30_4,TANDEM,446,706,148,260
900_35_0,TANDEM,547,579,120,32
900_35_1,TANDEM,465,702,134,237
900_35_2,TANDEM,577,770,105,193
900_35_3,TANDEM,395,437,102,42
900_35_4,TANDEM,174,419,127,245
900_40_0,TANDEM,331,464,80,133
900_40_1,TANDEM,322,585,91,263
900_40_2,TANDEM,267,482,128,215
900_40_3,TANDEM,602,791,118,189
900_40_4,TANDEM,451,606,96,155
900_45_0,TANDEM,194,444,116,250
900_45_1,TANDEM,526,763,86,237
900_45_2,TANDEM,309,603,92,294
